Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Codebook Info,Form Info
mot_01_4,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following statements based on the scale provided below:
I enjoy the social aspect of smoking with other smokers.","0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much",,,,,,,,,,,,,,
mot_01_5,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following statements based on the scale provided below:
If I quit smoking I will be less welcome around my friends who smoke.","0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much",,,,,,,,,,,,,,
mot_01_6,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following statements based on the scale provided below:
Smoking is part of my self-image.","0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much",,,,,,,,,,,,,,
mot_01_7,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following statements based on the scale provided below:
I feel a bond with other smokers.","0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much",,,,,,,,,,,,,,
mot_01_8,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following statements based on the scale provided below:
Smoking gives me something to do with my hands.","0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much",,,,,,,,,,,,,,
mot_01_9,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following statements based on the scale provided below:
If I always smoke in a certain place it is hard to be there and not smoke.","0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much",,,,,,,,,,,,,,
mot_01_10,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following statements based on the scale provided below:
If I quit smoking I will feel uncomfortable around smokers.","0, Not at all | 1, A little bit | 2, Somewhat | 3, Quite a bit | 4, Very much",,,,,,,,,,,,,,
mot_02_1,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following based on the scale below:
I am tempted to smoke when I see someone enjoying a cigarette.","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, All of the Time",,,,,,,,,,,,,,
mot_02_2,survey_measures,smoking_motivations_item_banks_for_daily_smokers_s,radio,"Please rate the following based on the scale below:
I am tempted to smoke when I am with other people who are smoking.","0, Never | 1, Rarely | 2, Sometimes | 3, Often | 4, All of the Time",,,,,,,,,,,,,,
sscs_1,survey_measures,smoker_selfconcept_scale_from_qualtrics,radio,Please indicate the extent to which you agree with the following statements...Smoking is part of my self-image.,"1, Strongly disagree | 2, Disgree | 3, Somewhat disagree | 4, Neither agree nor disagree | 5, Somewhat agree | 6, Agree | 7, Strongly Agree",,,,,,,,,,,,,,"<b>Smoker Self Concept Scale</b>
<p> All five questions are asked, plus one addition (""Smoking defines me as a person"")</p> 
<div class=""citation"">
  <span class=""authors"">Shadel, W. G., &amp; Mermelstein, R.</span>
  <span class=""year""> (1996).</span>
  <span class=""title""> Individual differences in self-concept among smokers attempting to quit: Validation and predictive utility of measures of the smoker self-concept and abstainer self-concept.</span>
  <span class=""journal""> <em>Annals of Behavioral Medicine: A Publication of the Society of Behavioral Medicine</em>,</span>
  <span class=""volume"">18(3),</span>
  <span class=""pages"">151–156.</span>
  <div class=""doi"">
    <a href=""https://doi.org/10.1007/BF02883391"" target=""_blank"" rel=""noopener noreferrer"">
      https://doi.org/10.1007/BF02883391
    </a>
  </div>
</div>"
sscs_2,survey_measures,smoker_selfconcept_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements...Smoking is part of ""who I am.""","1, Strongly disagree | 2, Disgree | 3, Somewhat disagree | 4, Neither agree nor disagree | 5, Somewhat agree | 6, Agree | 7, Strongly Agree",,,,,,,,,,,,,,
sscs_3,survey_measures,smoker_selfconcept_scale_from_qualtrics,radio,Please indicate the extent to which you agree with the following statements...Smoking is a part of my personality.,"1, Strongly disagree | 2, Disgree | 3, Somewhat disagree | 4, Neither agree nor disagree | 5, Somewhat agree | 6, Agree | 7, Strongly Agree",,,,,,,,,,,,,,
sscs_4,survey_measures,smoker_selfconcept_scale_from_qualtrics,radio,Please indicate the extent to which you agree with the following statements...Smoking is a large part of my daily life.,"1, Strongly disagree | 2, Disgree | 3, Somewhat disagree | 4, Neither agree nor disagree | 5, Somewhat agree | 6, Agree | 7, Strongly Agree",,,,,,,,,,,,,,
sscs_5,survey_measures,smoker_selfconcept_scale_from_qualtrics,radio,Please indicate the extent to which you agree with the following statements...Others view smoking as part of my personality.,"1, Strongly disagree | 2, Disgree | 3, Somewhat disagree | 4, Neither agree nor disagree | 5, Somewhat agree | 6, Agree | 7, Strongly Agree",,,,,,,,,,,,,,
sscs_6,survey_measures,smoker_selfconcept_scale_from_qualtrics,radio,Please indicate the extent to which you agree with the following statements...Smoking defines me as a person.,"1, Strongly disagree | 2, Disgree | 3, Somewhat disagree | 4, Neither agree nor disagree | 5, Somewhat agree | 6, Agree | 7, Strongly Agree",,,,,,,,,,,,,,
pss_01,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...been upset because of something that happened unexpectedly?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,"<b>Percieved Stress Scale, 10-item Short Form (PSS-10)</b>
<p>The scale usually asks about the last month, but we ask about the last 2 weeks</p>
<div class=""citation"">
  <span class=""author"">Tucker, J. S., Shadel, W. G., Edelen, M. O., Stucky, B. D., Kuhfeld, M., Hansen, M., &amp; Cai, L.</span>
  <span class=""year""> (2014).</span>
  <span class=""title""> Development of the PROMIS Social Motivations for Smoking item banks.</span>
  <span class=""journal""> <em>Nicotine &amp; Tobacco Research</em>,</span>
  <span class=""volume"">16(Suppl 3),</span>
  <span class=""pages"">S241–S249.</span>
  <div class=""url"">
    <a href=""https://doi.org/10.1093/ntr/ntt283"" target=""_blank"" rel=""noopener noreferrer"">
      https://doi.org/10.1093/ntr/ntt283
    </a>
  </div>
</div>"
pss_02,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...felt that you were unable to control the important things in your life?
","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_04,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...felt confident about your ability to handle your personal problems?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_03,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...felt nervous and ""stressed""?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_05,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...felt that things were going your way?
","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_06,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...found out that you could not cope with all the things that you had to do?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_07,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...been able to control irritations in your life?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_08,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...felt that you were on top of things?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_09,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...been angered because of things that were outside of your control?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
pss_10,survey_measures,perceived_stress_scale_pss10_cohen_and_williamson_,radio,"The questions in this scale ask you about your feelings and thoughts during the last two weeks. In each case, please indicate your response representing HOW OFTEN you felt or thought a certain way.

In the last two weeks, how often have you...felt difficulties were piling up so high you could not overcome them?","1, Never | 2, Almost never | 6, Sometimes | 7, Fairly often | 8, Very often",,,,,,,,,,,,,,
cosw_1,survey_measures,codeswitching_measure_from_qualtrics,radio,"Some people change the way they speak English or act when they are in similar company (i.e. with people from the same background), versus when they are in mixed company (i.e. with people from different backgrounds) 

For example, some Black Americans might switch between speaking Standard English and other forms of English like African American Vernacular English (also sometimes called: ""Black English"", or ""Ebonics"") throughout their day depending on who they are talking to. This kind of switching between types of English is not limited to Black Americans. People with other racial backgrounds, heritages, and ethnic origins might also change the way that they speak English depending on different aspects of their identity. 

For the items below, consider the different ways you may or may not change the way you speak English or act depending on the people you're interacting with. Please choose a response ranging from Strongly disagree to Strongly agree.

I speak differently at school (or work) than I do at home","1, Strongly Disagree | 2, Disagree | 3, Slightly Disagree | 4, Slightly Agree | 5, Agree | 6, Strongly Agree",,,,,,,,,,,,,,
cosw_2,survey_measures,codeswitching_measure_from_qualtrics,radio,"Some people change the way they speak English or act when they are in similar company (i.e. with people from the same background), versus when they are in mixed company (i.e. with people from different backgrounds) 

For example, some Black Americans might switch between speaking Standard English and other forms of English like African American Vernacular English (also sometimes called: ""Black English"", or ""Ebonics"") throughout their day depending on who they are talking to. This kind of switching between types of English is not limited to Black Americans. People with other racial backgrounds, heritages, and ethnic origins might also change the way that they speak English depending on different aspects of their identity. 

For the items below, consider the different ways you may or may not change the way you speak English or act depending on the people you're interacting with. Please choose a response ranging from Strongly disagree to Strongly agree.

I consciously change the tone of my voice when in the presence of people who do not match my background or upbringing","1, Strongly Disagree | 2, Disagree | 3, Slightly Disagree | 4, Slightly Agree | 5, Agree | 6, Strongly Agree",,,,,,,,,,,,,,
cosw_3,survey_measures,codeswitching_measure_from_qualtrics,radio,"Some people change the way they speak English or act when they are in similar company (i.e. with people from the same background), versus when they are in mixed company (i.e. with people from different backgrounds) 

For example, some Black Americans might switch between speaking Standard English and other forms of English like African American Vernacular English (also sometimes called: ""Black English"", or ""Ebonics"") throughout their day depending on who they are talking to. This kind of switching between types of English is not limited to Black Americans. People with other racial backgrounds, heritages, and ethnic origins might also change the way that they speak English depending on different aspects of their identity. 

For the items below, consider the different ways you may or may not change the way you speak English or act depending on the people you're interacting with. Please choose a response ranging from Strongly disagree to Strongly agree.

I have not needed to change how I speak when I am in different contexts","1, Strongly Disagree | 2, Disagree | 3, Slightly Disagree | 4, Slightly Agree | 5, Agree | 6, Strongly Agree",,,,,,,,,,,,,,
cosw_4,survey_measures,codeswitching_measure_from_qualtrics,radio,"Some people change the way they speak English or act when they are in similar company (i.e. with people from the same background), versus when they are in mixed company (i.e. with people from different backgrounds) 

For example, some Black Americans might switch between speaking Standard English and other forms of English like African American Vernacular English (also sometimes called: ""Black English"", or ""Ebonics"") throughout their day depending on who they are talking to. This kind of switching between types of English is not limited to Black Americans. People with other racial backgrounds, heritages, and ethnic origins might also change the way that they speak English depending on different aspects of their identity. 

For the items below, consider the different ways you may or may not change the way you speak English or act depending on the people you're interacting with. Please choose a response ranging from Strongly disagree to Strongly agree.

There is a way to act at home and a different way when I am away from home","1, Strongly Disagree | 2, Disagree | 3, Slightly Disagree | 4, Slightly Agree | 5, Agree | 6, Strongly Agree",,,,,,,,,,,,,,
cosw_5,survey_measures,codeswitching_measure_from_qualtrics,radio,"Some people change the way they speak English or act when they are in similar company (i.e. with people from the same background), versus when they are in mixed company (i.e. with people from different backgrounds) 

For example, some Black Americans might switch between speaking Standard English and other forms of English like African American Vernacular English (also sometimes called: ""Black English"", or ""Ebonics"") throughout their day depending on who they are talking to. This kind of switching between types of English is not limited to Black Americans. People with other racial backgrounds, heritages, and ethnic origins might also change the way that they speak English depending on different aspects of their identity. 

For the items below, consider the different ways you may or may not change the way you speak English or act depending on the people you're interacting with. Please choose a response ranging from Strongly disagree to Strongly agree.

It is difficult to shift between the different sides of me","1, Strongly Disagree | 2, Disagree | 3, Slightly Disagree | 4, Slightly Agree | 5, Agree | 6, Strongly Agree",,,,,,,,,,,,,,
q272,survey_measures,codeswitching_measure_from_qualtrics,text,"Do you speak any other language(s) besides English? If so, which other languages do you speak?",,,,,,,,,,,,,,,
q273,survey_measures,codeswitching_measure_from_qualtrics,radio,"Do you consider yourself to be bilingual (i.e., speak/understand two or more languages)? ","1, Yes | 2, No | 3, I don't know",,,,,,,,,,,,,,
pm_self,survey_measures,perceived_microagressions_from_qualtrics,radio,"In the past week, how often do you recall feeling like you felt unkind toward yourself because of your gender, age, race, weight, sexual orientation, income/education level, or any other similar personal attributes? ","1, Not at all | 2, Some days | 3, Most days | 4, Every day",,,,,,,,,,,,,,"<b>Perceived Microaggressions</b>
<p>A single-item adaption of the Everyday Discrimination Scale. Not validated?</p>
<div class=""citation"">
  <span class=""author"">Williams, D. R., Yan Yu, Jackson, J. S., &amp; Anderson, N. B.</span>
  <span class=""year""> (1997).</span>
  <span class=""title""> Racial differences in physical and mental health: Socio-economic status, stress and discrimination.</span>
  <span class=""journal""> <em>Journal of Health Psychology</em>,</span>
  <span class=""volume"">2(3),</span>
  <span class=""pages"">335–351.</span>
  <div class=""url"">
    <a href=""https://doi.org/10.1177/135910539700200305"" target=""_blank"" rel=""noopener noreferrer"">
      https://doi.org/10.1177/135910539700200305
    </a>
  </div>
</div>"
pm_pa,survey_measures,perceived_microagressions_from_qualtrics,radio,"In the past week, how often do you recall feeling like you were avoided or disrespected because of your gender, age, race, weight, sexual orientation, income/education level, or any other similar personal attribute? ","1, Not at all | 2, Some days | 3, Most days | 4, Every day",,,,,,,,,,,,,,
pm_smk,survey_measures,perceived_microagressions_from_qualtrics,radio,"In the past week, how often do you recall feeling like you were avoided or disrespected because you are a smoker? ","1, Not at all | 2, Some days | 3, Most days | 4, Every day",,,,,,,,,,,,,,
pil_1,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements.

I enjoy making plans for the future and working to make them a reality.","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,"<b>Purpose in Life (Psychological Well-Being 7-item) from Midlife in the United States (MIDUS 2), 2004-2006.</b>
<p>All 7 items asked</p>
<div class=""citation"">
  <span class=""author"">Ryff, C., Almeida, D. M., Ayanian, J. S., Carr, D. S., Cleary, P. D., Coe, C., … Williams, D.</span>
  <span class=""year""> (2010).</span>
  <span class=""title""> National Survey of Midlife Development in the United States (MIDUS II), 2004-2006: Documentation of psychosocial constructs and composite variables in MIDUS II Project 1.</span>
  <span class=""publisher""> Ann Arbor, MI: Inter-university Consortium for Political and Social Research.</span>
</div>"
pil_2,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements.

My daily activities often seem trivial and unimportant to me.","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
pil_3,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements.

I am an active person in carrying out the plans I set for myself.","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
pil_4,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements.

I don't have a good sense of what it is I'm trying to accomplish in life.","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
pil_5,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements.

I sometimes feel as if I've done all there is to do in life.","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
pil_6,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements.

I live life one day at a time and don't really think about the future.","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
pil_7,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Please indicate the extent to which you agree with the following statements.

I have a sense of direction and purpose in my life.","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
pil_ben_1,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Using the same scale from above, my purpose in life is...About benefiting myself","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
pil_ben_2,survey_measures,purpose_in_life_scale_from_qualtrics,radio,"Using the same scale from above, my purpose in life is...About benefiting others","1, Strongly disagree | 2, Slightly disagree | 3, Somewhat disagree | 4, Slightly agree | 5, Somewhat agree | 6, Strongly agree",,,,,,,,,,,,,,
cesd_1,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I was bothered by things that usually don't bother me.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,"<b>Center for the Epidemiological Studies of Depression, 10-item Short Form (CES-D-10)</b>
<div class=""citation"">
  <span class=""author"">Haroz, E. E., Ybarra, M. L., &amp; Eaton, W. W.</span>
  <span class=""year""> (2014).</span>
  <span class=""title""> Psychometric evaluation of a self-report scale to measure adolescent depression: the CESDR-10 in two national adolescent samples in the United States.</span>
  <span class=""journal""> <em>Journal of Affective Disorders</em>,</span>
  <span class=""volume"">158,</span>
  <span class=""pages"">154–160.</span>
  <div class=""url"">
    <a href=""https://doi.org/10.1016/j.jad.2014.02.009"" target=""_blank"" rel=""noopener noreferrer"">
      https://doi.org/10.1016/j.jad.2014.02.009
    </a>
  </div>
</div>"
cesd_2,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I had trouble keeping my mind on what I was doing.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_3,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I felt depressed.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_4,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I felt that everything I did was an effort.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_5,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I felt hopeful of the future.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_6,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I felt fearful.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_7,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

My sleep was restless.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_8,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I was happy.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_9,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I felt lonely.","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
cesd_10,survey_measures,CES-D,radio,"Below is a list of some of the ways you may have felt or behaved recently. Please indicate how often you have felt this way during the past week by checking the appropriate box for each question.

I could not ""get going.""","0, rarely or none of the time (less than 1 day) | 1, some or a little of the time (1-2 days) | 2, occasionally or a moderate amount of time (3-4 days) | 3, most or all the time (5-7 days)",,,,,,,,,,,,,,
exp_01,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"In the past 30 days, have you received things like coupons, special price offers or discounts on cigarettes or other promotional items in the mail from tobacco companies?","1, Yes | 2, No",,,,,,,,,,,,,,"<div class=""citation"">
  <span class=""author"">World Health Organization.</span>
  <span class=""year""> (2020).</span>
  <span class=""title""> GATS Questionnaire.</span>
  <span class=""publisher""> WHO Noncommunicable Disease Surveillance, Monitoring and Reporting.</span>
  <div class=""url"">
    <a href=""https://www.who.int/teams/noncommunicable-diseases/surveillance/systems-tools/global-adult-tobacco-survey/questionnaire"" target=""_blank"" rel=""noopener noreferrer"">
      https://www.who.int/teams/noncommunicable-diseases/surveillance/systems-tools/global-adult-tobacco-survey/questionnaire
    </a>
  </div>
  <div class=""original-work"">(Original work published 1998)</div>
</div>"
exp_02_1,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"In the last 30 days, have you noticed any of the following types of cigarette promotions? 
Free samples of cigarettes","1, Yes | 2, No",,,,,,,,,,,,,,
exp_02_2,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"In the last 30 days, have you noticed any of the following types of cigarette promotions? 
Cigarettes at sale price","1, Yes | 2, No",,,,,,,,,,,,,,
exp_02_3,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"In the last 30 days, have you noticed any of the following types of cigarette promotions? 
Coupons for cigarettes","1, Yes | 2, No",,,,,,,,,,,,,,
exp_02_4,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"In the last 30 days, have you noticed any of the following types of cigarette promotions? 
Free gifts or special discount offers on other products when buying cigarettes
","1, Yes | 2, No",,,,,,,,,,,,,,
exp_02_5,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"In the last 30 days, have you noticed any of the following types of cigarette promotions? 
Clothing or other items with a cigarette brand name or logo

","1, Yes | 2, No",,,,,,,,,,,,,,
exp_02_6,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"In the last 30 days, have you noticed any of the following types of cigarette promotions? 
Cigarette promotions in the mail


","1, Yes | 2, No",,,,,,,,,,,,,,
exp_03,survey_measures,modified_tcorssmoking_info_exposure_from_qualtrics,radio,"If you're running low on cigarettes, how likely are you to reduce or delay your smoking until you come across a discount?","1, Very unlikely | 2, Unlikely | 3, Neutral | 4, Likely | 6, Very likely",,,,,,,,,,,,,,
slei,survey_measures,stressful_life_experiences_inventory,checkbox,"In the past 12 months, which of the following major life events have taken place in your life? Select each event that you have experienced this year. 
","1, Death of spouse | 2, Divorce | 3, Marital separation | 4, Jail term | 5, Death of close family member | 6, Personal injury or illness | 7, Marriage | 8, Fired from work | 9, Marital reconciliation | 10, Retirement | 11, Change in family member's health | 12, Pregnancy | 13, Sex difficulties | 14, Addition to family | 15, Business readjustment | 16, Change in financial status | 17, Death of a close friend | 18, Change to a different line of work | 19, Change in number of marital arguments | 20, Mortgage or loan over $10,000 | 21, Foreclosure of mortgage or loan | 22, Change in work responsibilities | 44, Child (e.g., son or daughter) leaving home | 23, Trouble with in-laws | 24, Outstanding personal achievement | 25, Spouse begins or stops work | 26, Starting or finishing school | 27, Change in living conditions | 28, Revision of personal habits | 29, Trouble with boss | 30, Change in work hours, conditions | 31, Change in residence (where you live) | 32, Change in schools | 33, Change in recreational habits | 34, Change in church activities | 35, Change in social activities | 36, Mortgage or loan under $10,000 | 37, Change in sleeping habits | 38, Change in number of family gatherings | 39, Change in eating habits | 40, Vacation | 41, Christmas season | 42, Minor violation of the law",,,,,,,,,,,,,,"<b>Modified Social Readjustment Rating Scale</b>
<div class=""citation"">
  <span class=""author"">Holmes, T. H., &amp; Rahe, R. H.</span>
  <span class=""year""> (1967).</span>
  <span class=""title""> The Social Readjustment Rating Scale.</span>
  <span class=""journal""> <em>Journal of Psychosomatic Research</em>,</span>
  <span class=""volume"">11(2),</span>
  <span class=""pages"">213–218.</span>
  <div class=""url"">
    <a href=""https://doi.org/10.1016/0022-3999(67)90010-4"" target=""_blank"" rel=""noopener noreferrer"">
      https://doi.org/10.1016/0022-3999(67)90010-4
    </a>
  </div>
</div>"
